id,message_id,chosen_email
4c993b86-5be1-4f75-aa2d-146206b3bc9e,4c993b86-5be1-4f75-aa2d-146206b3bc9e,kmann_train
642359b5-52ee-409d-9ccd-0ba0db69f041,642359b5-52ee-409d-9ccd-0ba0db69f041,kmann_train
44e90b92-9e9a-4e53-a26d-e53eddb3898f,44e90b92-9e9a-4e53-a26d-e53eddb3898f,kmann_train
b7646857-411f-447c-ba27-291cc341476e,b7646857-411f-447c-ba27-291cc341476e,kmann_train
b66b3c27-cd54-430b-bf11-586dd643b1d3,b66b3c27-cd54-430b-bf11-586dd643b1d3,kmann_train
6292512f-7655-4940-b8cd-97820e4f9be2,6292512f-7655-4940-b8cd-97820e4f9be2,kmann_train
491a9546-4a0b-4602-bfa9-606f81b284aa,491a9546-4a0b-4602-bfa9-606f81b284aa,kmann_train
e178c9ef-0ba9-4158-95ab-cc7dc242bd6e,e178c9ef-0ba9-4158-95ab-cc7dc242bd6e,kmann_train
415f6ec3-2075-4dc9-acdb-e5d37a1fa03d,415f6ec3-2075-4dc9-acdb-e5d37a1fa03d,kmann_train
bff108e5-0278-48d7-a0c3-49ca449da85a,bff108e5-0278-48d7-a0c3-49ca449da85a,naive_train
